source,target,source_lexname,target_lexname
ls:fr:node:40358,ls:fr:node:39361,coup d’État,perpétrer
ls:fr:node:27825,ls:fr:node:39361,hold-up,perpétrer
ls:fr:node:26968,ls:fr:node:39361,crime,perpétrer
ls:fr:node:45529,ls:fr:node:46944,sprint,piquer
ls:fr:node:56760,ls:fr:node:56763,jugement,porter
ls:fr:node:40696,ls:fr:node:56763,toast,porter
ls:fr:node:26742,ls:fr:node:38555,cheveux,porter
ls:fr:node:26292,ls:fr:node:56763,amour,porter
ls:fr:node:33796,ls:fr:node:38555,cheveu,porter
ls:fr:node:40794,ls:fr:node:53356,lapin,poser
ls:fr:node:29053,ls:fr:node:53356,question,poser
ls:fr:node:53354,ls:fr:node:53356,devinette,poser
ls:fr:node:30775,ls:fr:node:53356,colle,poser
ls:fr:node:26911,ls:fr:node:43735,coquille,posséder
ls:fr:node:38389,ls:fr:node:43735,corps,posséder
ls:fr:node:45176,ls:fr:node:43735,analogie,posséder
